STATE,EVENT_ID,YEAR,MONTH_NAME,TOR_F_SCALE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS
NORTH DAKOTA,5606711,1997,July,F0,48.53,-100.22,48.53,-100.22,0,0,0,0,,
NEBRASKA,5607037,1997,July,F0,41.08,-103.67,41.08,-103.67,0,0,0,0,0,0
WYOMING,5607038,1997,July,F0,41.12,-104.13,41.12,-104.13,0,0,0,0,0,0
NEBRASKA,5612253,1997,August,F1,40.3,-101.4,40.3,-101.4,0,0,0,0,2K,
COLORADO,5607371,1997,July,F0,38.9,-103.87,38.9,-103.87,0,0,0,0,0,
MINNESOTA,5606844,1997,July,F0,44.03,-92.82,44.03,-92.82,0,0,0,0,,
INDIANA,5612243,1997,August,F0,39.08,-85,39.08,-85,0,0,0,0,20K,
PENNSYLVANIA,5617371,1997,August,F2,41.9,-79.85,41.9,-79.85,0,0,0,0,.5M,3K
OHIO,5617372,1997,August,F0,40.77,-82.52,40.77,-82.52,0,0,0,0,10K,
MINNESOTA,5615004,1997,July,F0,44.62,-93.93,44.62,-93.93,0,0,0,0,,
NORTH DAKOTA,5616139,1997,August,F0,46.7,-98.18,46.7,-98.18,0,0,0,0,,
TENNESSEE,5589729,1997,January,F2,36.12,-86.03,36.2,-85.8,6,0,0,0,1M,
TENNESSEE,5589730,1997,January,F1,36.13,-85.78,36.2,-85.62,0,0,0,0,1K,
NORTH CAROLINA,5612488,1997,July,F1,34.8,-78.95,34.8,-78.95,0,0,0,0,20K,
COLORADO,5616583,1997,August,F1,40.47,-102.13,40.47,-102.13,0,0,0,0,,
PENNSYLVANIA,5616060,1997,July,F0,40.95,-76.88,40.95,-76.88,0,0,0,0,,
FLORIDA,5617343,1997,July,F0,28.85,-80.85,28.85,-80.85,0,0,0,0,30K,
ALABAMA,5611782,1997,July,F0,34.22,-86.58,34.2,-86.57,0,0,0,0,5K,0K
MINNESOTA,5616296,1997,July,F1,45.13,-95.05,45.13,-95.05,0,0,0,0,,
MINNESOTA,5616297,1997,July,F1,45.17,-95,45.2,-94.97,0,0,0,0,,
MINNESOTA,5614854,1997,July,F1,45.48,-93.43,45.48,-93.43,0,0,0,0,,
MICHIGAN,5615967,1997,August,F0,46.07,-87.58,46.07,-87.58,0,0,0,0,,
INDIANA,5616431,1997,August,F0,41.55,-86.57,41.55,-86.57,0,0,0,0,,
