STATE,EVENT_ID,YEAR,MONTH_NAME,FLOOD_CAUSE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS
IOWA,5598896,1997,June,,,,,,0,0,0,0,,
IOWA,5598897,1997,June,,,,,,0,0,0,0,,
IOWA,5598894,1997,June,,,,,,0,0,0,0,,
CALIFORNIA,5587196,1997,January,,,,,,0,0,0,0,,
CALIFORNIA,5587197,1997,January,,,,,,0,0,0,0,,
MICHIGAN,5587887,1997,February,,,,,,0,0,0,0,,
KENTUCKY,5599709,1997,June,,,,,,0,0,0,0,,
CALIFORNIA,5620103,1997,January,,,,,,0,0,1,0,,
ILLINOIS,5589922,1997,February,,,,,,0,0,0,0,,
MISSOURI,5585770,1997,June,,,,,,0,0,0,0,,
MISSOURI,5585771,1997,June,,,,,,0,0,0,0,,
LOUISIANA,5597919,1997,May,,,,,,0,0,0,0,,
LOUISIANA,5597920,1997,May,,,,,,0,0,0,0,,
LOUISIANA,5604137,1997,June,,,,,,0,0,0,0,,
IOWA,5586124,1997,February,,,,,,0,0,0,0,,
INDIANA,5585916,1997,February,,,,,,0,0,0,0,,
INDIANA,5585917,1997,February,,,,,,0,0,0,0,,
MINNESOTA,5601547,1997,May,,,,,,0,0,0,0,,
MINNESOTA,5601548,1997,May,,,,,,0,0,0,0,,
OHIO,5601737,1997,May,,,,,,0,0,0,0,,
NEBRASKA,5590571,1997,February,,,,,,0,0,0,0,,
MONTANA,5608353,1997,June,,,,,,0,0,0,0,,
NEBRASKA,5590574,1997,February,,,,,,0,0,0,0,,
MICHIGAN,5587895,1997,February,,,,,,0,0,0,0,,
MINNESOTA,5601546,1997,May,,,,,,0,0,0,0,,
KENTUCKY,5601807,1997,June,,,,,,0,0,0,0,,
KENTUCKY,5601808,1997,June,,,,,,0,0,0,0,,
MICHIGAN,5588288,1997,February,,,,,,0,0,0,0,,
MICHIGAN,5588289,1997,February,,,,,,0,0,0,0,,
WISCONSIN,5602447,1997,June,,,,,,0,0,0,0,,
PUERTO RICO,5615493,1997,May,,,,,,0,0,0,0,,
LOUISIANA,5602264,1997,April,,,,,,0,0,0,0,84K,
IOWA,5613755,1997,May,,,,,,0,0,0,0,,
IOWA,5613757,1997,May,,,,,,0,0,0,0,,
IOWA,5613758,1997,May,,,,,,0,0,0,0,,
IOWA,5613759,1997,May,,,,,,0,0,0,0,,
HAWAII,5626038,1997,June,,,,,,0,0,0,0,,
LOUISIANA,5588876,1997,February,,,,,,0,0,0,0,,
SOUTH DAKOTA,5605369,1997,May,,,,,,0,0,0,0,,
HAWAII,5626176,1997,February,,,,,,0,0,0,0,,
TEXAS,5588149,1997,February,,,,,,0,0,0,0,.1M,
MICHIGAN,5587893,1997,February,,,,,,0,0,0,0,,
SOUTH DAKOTA,5591136,1997,February,,,,,,0,0,0,0,,
OHIO,5605950,1997,June,,,,,,0,0,0,0,1M,
OHIO,5606181,1997,June,,,,,,0,0,0,0,,
OHIO,5606182,1997,June,,,,,,0,0,0,0,,
OHIO,5606183,1997,June,,,,,,0,0,0,0,100K,
